Field,Type,Null,Key,Default,Extra
Income,double,YES,,NULL,
Kidhome,int,YES,,NULL,
Teenhome,int,YES,,NULL,
Recency,int,YES,,NULL,
MntWines,int,YES,,NULL,
MntFruits,int,YES,,NULL,
MntMeatProducts,int,YES,,NULL,
MntFishProducts,int,YES,,NULL,
MntSweetProducts,int,YES,,NULL,
MntGoldProds,int,YES,,NULL,
NumDealsPurchases,int,YES,,NULL,
NumWebPurchases,int,YES,,NULL,
NumCatalogPurchases,int,YES,,NULL,
NumStorePurchases,int,YES,,NULL,
NumWebVisitsMonth,int,YES,,NULL,
AcceptedCmp3,int,YES,,NULL,
AcceptedCmp4,int,YES,,NULL,
AcceptedCmp5,int,YES,,NULL,
AcceptedCmp1,int,YES,,NULL,
AcceptedCmp2,int,YES,,NULL,
Complain,int,YES,,NULL,
Z_CostContact,int,YES,,NULL,
Z_Revenue,int,YES,,NULL,
Response,int,YES,,NULL,
Age,int,YES,,NULL,
Customer_Days,int,YES,,NULL,
marital_Divorced,int,YES,,NULL,
marital_Married,int,YES,,NULL,
marital_Single,int,YES,,NULL,
marital_Together,int,YES,,NULL,
marital_Widow,int,YES,,NULL,
"education_2n Cycle",int,YES,,NULL,
education_Basic,int,YES,,NULL,
education_Graduation,int,YES,,NULL,
education_Master,int,YES,,NULL,
education_PhD,int,YES,,NULL,
MntTotal,int,YES,,NULL,
MntRegularProds,int,YES,,NULL,
AcceptedCmpOverall,int,YES,,NULL,
